MolWt,MolLogP,NumHDonors,NumHAcceptors,RingCount,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHeteroatoms,FractionCSP3,HallKierAlpha,Kappa3,LabuteASA,BalabanJ,BCUT2D_MWHI,BCUT2D_MWLOW,EState_VSA1,EState_VSA2,CID
405.4370000000001,2.745520000000001,0,7,4,81.73,6,4,0,0,3,0,1,0,9,0.19047619047619047,-3.879999999999998,4.0937153203424685,172.13650392706492,1.462450508264055,19.142158299031024,10.085705679210049,0.0,11.7244005703974,57389801
403.5890000000003,2.3295000000000003,2,4,2,87.74000000000001,7,0,2,2,0,1,0,1,8,0.9473684210526315,-0.86,6.909193009267994,164.19194803929523,1.999881211982587,32.233102085415055,9.803986463403879,10.023291153407584,24.218762558382295,156272381
477.61200000000014,4.914190000000005,1,5,5,77.81,6,4,1,1,1,1,3,0,6,0.3,-4.1099999999999985,4.219697095541172,211.08382599432576,1.6350151233318289,16.15543173059824,9.97461640706218,6.041840829147961,17.86692660466086,139536062
420.4520000000001,2.6106999999999996,0,8,4,94.62,7,4,0,0,2,0,2,0,10,0.23809523809523808,-3.9499999999999984,4.3211374923732455,177.65800115921746,1.5242677094304344,19.142145875881567,10.110164064578607,0.0,17.76624139954536,72700267
366.5270000000001,2.3991999999999996,2,4,3,67.43,6,1,2,2,0,1,1,1,6,0.6842105263157895,-0.9500000000000001,5.776212071298396,151.13803378873246,1.4541186725017092,32.2331019000543,9.825563541482532,10.023291153407584,12.083681658295921,130310078
358.4380000000001,4.612720000000004,0,4,3,46.34,5,3,0,0,2,0,1,0,6,0.2631578947368421,-2.469999999999999,3.961441215883852,149.47647590661288,1.6690883212087007,32.13348138168862,10.071625248200954,0.0,24.18706302247137,39105263
345.826,4.332900000000003,0,3,3,38.77,2,2,0,1,0,1,2,0,5,0.3157894736842105,-2.1999999999999993,3.0628455384184456,146.4889734289506,1.9895244752752073,35.49569156393747,10.027516107699794,0.0,17.990861387647428,57398059
528.4610000000005,3.7314200000000026,1,8,4,101.72,5,3,1,1,3,1,0,0,15,0.45454545454545453,-3.779999999999999,5.488516915081421,206.50437938861796,1.6374754592696932,19.41329240283968,9.87654558148774,54.31200465178039,29.574879671444457,130298556
420.5170000000001,3.3321200000000015,1,7,4,85.17,6,3,1,1,2,1,1,0,8,0.391304347826087,-3.4199999999999986,4.523949371008271,181.7889276926825,1.5923058063102344,16.47281995284793,9.89491559426893,0.0,11.949020558499466,117728110
407.4160000000001,5.545400000000004,0,3,5,42.68,4,4,1,1,1,1,3,0,6,0.20833333333333334,-3.409999999999998,2.9086589703783003,171.19594899156507,1.5506834819125908,19.145058408119823,10.011559564507609,23.937916795055653,18.52902952053558,89789778
420.4880000000001,4.396500000000003,1,5,4,67.35,5,3,1,1,1,1,2,0,7,0.2916666666666667,-3.479999999999998,4.353280111691187,180.64889184144994,1.5278403762377286,19.142260333752233,9.96033093638806,5.817220841045895,29.303824712628327,90405699
522.9740000000004,5.733600000000005,1,4,4,50.160000000000004,7,3,0,1,1,1,2,0,10,0.38461538461538464,-2.909999999999999,5.127975103000312,211.6295293174564,1.7281953129192593,35.49569763021728,9.945591804225273,29.640652508482287,17.89145284397451,24959912
450.62600000000026,3.631820000000003,1,6,3,87.57,5,2,1,1,1,1,1,0,8,0.5454545454545454,-1.7699999999999996,5.097829425755637,182.42791281477542,1.877061586109571,32.227720655124216,9.922902428479556,15.43830394740119,23.619780211407647,117859119
464.8790000000003,4.439700000000003,1,6,4,75.94,4,3,1,1,2,1,1,0,11,0.3333333333333333,-3.1399999999999983,4.545841572902792,186.7453706700428,1.5429318891775916,35.4956920461267,9.957613152663262,11.73975000914047,17.990861387647428,86271116
407.4610000000001,3.6202000000000023,1,5,3,67.59,6,2,1,1,1,1,1,0,8,0.5238095238095238,-2.479999999999999,4.928594582637897,168.62941055955437,1.791709671007154,19.27983571880157,9.975252109134034,18.633377520355797,29.303824712628327,121344817
401.4620000000001,3.9567200000000033,0,4,5,63.68000000000001,5,2,2,3,0,1,2,2,5,0.32,-3.209999999999998,2.8805738524397633,174.8835935197865,1.347652922223628,16.493247634861714,9.851918803863102,6.103966387748303,41.26922858971352,162643875
