CID,Activity Type,Qualifier,Value,MolWt,MolLogP,NumHDonors,NumHAcceptors,RingCount,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHeteroatoms,FractionCSP3,HallKierAlpha,Kappa3,LabuteASA,BalabanJ,BCUT2D_MWHI,BCUT2D_MWLOW,EState_VSA1,EState_VSA2
44454917,Ki,=,0.0002,459.5750000000001,4.383820000000004,2,5,5,83.02,6,4,1,1,2,1,2,0,8,0.24,-3.5199999999999982,4.518496237117357,195.74475221383847,1.2478677916443128,32.16655561467765,10.157472837800505,6.041840829147961,17.5672130654498
15949607,Activity,=,0.24,438.531,4.792200000000004,2,3,5,78.09,6,4,1,1,1,1,3,0,6,0.2222222222222222,-3.929999999999998,4.505706115830998,192.20251028086352,1.2563495772896756,16.1613164953691,10.03216947603852,6.041840829147961,11.814359458703011
15949607,Activity,=,0.02,438.531,4.792200000000004,2,3,5,78.09,6,4,1,1,1,1,3,0,6,0.2222222222222222,-3.929999999999998,4.505706115830998,192.20251028086352,1.2563495772896756,16.1613164953691,10.03216947603852,6.041840829147961,11.814359458703011
15949607,Ki,=,0.04,438.531,4.792200000000004,2,3,5,78.09,6,4,1,1,1,1,3,0,6,0.2222222222222222,-3.929999999999998,4.505706115830998,192.20251028086352,1.2563495772896756,16.1613164953691,10.03216947603852,6.041840829147961,11.814359458703011
15949607,Ki,=,0.006,438.531,4.792200000000004,2,3,5,78.09,6,4,1,1,1,1,3,0,6,0.2222222222222222,-3.929999999999998,4.505706115830998,192.20251028086352,1.2563495772896756,16.1613164953691,10.03216947603852,6.041840829147961,11.814359458703011
11960895,Activity,=,0.017,470.5980000000001,4.962100000000005,1,5,5,67.23,6,4,1,1,1,1,3,0,7,0.2222222222222222,-3.5799999999999983,4.4339394269894505,202.5355917928241,1.2704760313611596,32.16655618036272,10.0325316280757,6.041840829147961,17.5672130654498
11960895,Activity,=,0.004,470.5980000000001,4.962100000000005,1,5,5,67.23,6,4,1,1,1,1,3,0,7,0.2222222222222222,-3.5799999999999983,4.4339394269894505,202.5355917928241,1.2704760313611596,32.16655618036272,10.0325316280757,6.041840829147961,17.5672130654498
11960895,Ki,=,0.003,470.5980000000001,4.962100000000005,1,5,5,67.23,6,4,1,1,1,1,3,0,7,0.2222222222222222,-3.5799999999999983,4.4339394269894505,202.5355917928241,1.2704760313611596,32.16655618036272,10.0325316280757,6.041840829147961,17.5672130654498
11960895,Ki,=,0.0002,470.5980000000001,4.962100000000005,1,5,5,67.23,6,4,1,1,1,1,3,0,7,0.2222222222222222,-3.5799999999999983,4.4339394269894505,202.5355917928241,1.2704760313611596,32.16655618036272,10.0325316280757,6.041840829147961,17.5672130654498
11960895,Ki,=,0.0002,470.5980000000001,4.962100000000005,1,5,5,67.23,6,4,1,1,1,1,3,0,7,0.2222222222222222,-3.5799999999999983,4.4339394269894505,202.5355917928241,1.2704760313611596,32.16655618036272,10.0325316280757,6.041840829147961,17.5672130654498
15949701,Activity,=,20.0,456.57100000000014,4.951700000000004,2,4,5,78.09,6,4,1,1,1,1,3,0,7,0.1923076923076923,-3.5799999999999983,4.780224122952824,195.9606781918322,1.223249079000406,32.16655560434335,10.051691419991563,6.041840829147961,17.5672130654498
15949701,Activity,=,2.64,456.57100000000014,4.951700000000004,2,4,5,78.09,6,4,1,1,1,1,3,0,7,0.1923076923076923,-3.5799999999999983,4.780224122952824,195.9606781918322,1.223249079000406,32.16655560434335,10.051691419991563,6.041840829147961,17.5672130654498
15949701,Ki,=,0.5,456.57100000000014,4.951700000000004,2,4,5,78.09,6,4,1,1,1,1,3,0,7,0.1923076923076923,-3.5799999999999983,4.780224122952824,195.9606781918322,1.223249079000406,32.16655560434335,10.051691419991563,6.041840829147961,17.5672130654498
