CID,Activity Type,Qualifier,Value,MolWt,MolLogP,NumHDonors,NumHAcceptors,RingCount,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHeteroatoms,FractionCSP3,HallKierAlpha,Kappa3,LabuteASA,BalabanJ,BCUT2D_MWHI,BCUT2D_MWLOW,EState_VSA1,EState_VSA2
134144954,Kd,=,0.00094,408.4080000000001,3.811300000000003,0,5,5,59.73,3,4,1,1,3,1,1,0,8,0.2272727272727272,-3.549999999999998,3.2368212318712803,170.27741155285847,1.400932886768454,19.28548430974071,10.020447456065956,18.447317178768888,24.876680877612028
90298275,Kd,=,0.00474,409.3960000000001,3.4349000000000016,1,5,5,84.0,3,4,1,1,3,1,1,0,9,0.238095238095238,-3.6199999999999983,3.2152945933689594,169.2697240913421,1.400932886768454,19.28548451510781,10.026717905410106,24.354496908120392,24.66342914310898
4331799,Kd,=,0.02692,356.37600000000015,4.531420000000003,2,3,3,57.260000000000005,3,3,0,0,1,0,2,0,7,0.1578947368421052,-3.2199999999999984,3.715161374108674,149.2017292391449,1.848421037956344,19.145459959711825,10.128618353783173,17.66555619442986,16.590311206764618
10204153,Kd,=,0.005129,448.52300000000014,5.154920000000004,0,6,5,72.12,5,4,1,1,2,1,2,0,8,0.25,-3.3899999999999983,3.933554431265075,188.300430603842,1.3847955265361322,32.13356807723137,10.098766762385292,0.0,17.76624139954536
10065953,Kd,=,0.004467,342.3490000000001,4.223000000000003,2,3,3,57.260000000000005,3,3,0,0,1,0,2,0,7,0.1111111111111111,-3.2199999999999984,3.496915534836105,142.83678712474827,1.815354150599624,19.14401124609952,10.143619427387655,17.66555619442986,16.590311206764618
59475183,Kd,=,0.696,433.5520000000001,3.927200000000002,1,4,3,63.57000000000001,10,3,0,0,1,0,2,0,6,0.3076923076923077,-3.5399999999999983,6.001346876924878,189.36042986660652,1.708960068513939,16.476122911892496,10.00732082516021,0.0,17.85620028785097
59475183,Kd,=,0.002,433.5520000000001,3.927200000000002,1,4,3,63.57000000000001,10,3,0,0,1,0,2,0,6,0.3076923076923077,-3.5399999999999983,6.001346876924878,189.36042986660652,1.708960068513939,16.476122911892496,10.00732082516021,0.0,17.85620028785097
73352182,Kd,=,3.052,499.61900000000026,3.603940000000004,1,7,4,97.94,10,4,0,0,2,0,2,0,9,0.3214285714285714,-4.269999999999998,6.113610120773575,216.6523575132236,1.5398463618338931,16.154510685509045,10.000330228695512,0.0,17.85620028785097
73352182,Kd,=,0.007,499.61900000000026,3.603940000000004,1,7,4,97.94,10,4,0,0,2,0,2,0,9,0.3214285714285714,-4.269999999999998,6.113610120773575,216.6523575132236,1.5398463618338931,16.154510685509045,10.000330228695512,0.0,17.85620028785097
53259791,Kd,>,10.0,388.515,3.982500000000004,0,4,5,41.370000000000005,3,3,2,2,1,2,2,0,5,0.4166666666666667,-2.8199999999999985,3.1845925645421587,171.492832137607,1.3161111230387257,16.154836138654737,9.713764421523278,0.0,5.41499046939678
53259791,Kd,>,10.0,388.515,3.982500000000004,0,4,5,41.370000000000005,3,3,2,2,1,2,2,0,5,0.4166666666666667,-2.8199999999999985,3.1845925645421587,171.492832137607,1.3161111230387257,16.154836138654737,9.713764421523278,0.0,5.41499046939678
53259115,Kd,>,10.0,454.49600000000015,5.057800000000005,0,4,5,49.330000000000005,3,3,2,2,1,2,2,0,8,0.4,-3.1599999999999984,4.259433258674059,189.78995441972265,1.2595982633451803,19.413185882295828,9.713305839385033,17.15474047853725,5.907179729351506
53259280,Kd,>,10.0,436.5590000000001,5.192200000000004,0,4,6,49.330000000000005,3,4,2,2,1,2,3,0,5,0.3214285714285714,-3.469999999999998,3.714044814055197,193.61007062828247,1.1671007670777331,16.154834323380292,9.713267559681338,0.0,5.41499046939678
53259125,Kd,>,10.0,467.5770000000001,3.9281200000000025,0,7,6,80.04,4,4,2,2,2,2,2,0,8,0.3703703703703703,-3.8099999999999983,4.026532259616975,204.14577742332008,1.1718249213060914,16.15485345928132,9.713044160419903,0.0,5.41499046939678
53259457,Kd,>,10.0,424.54800000000006,5.125300000000005,1,3,6,52.23,3,4,2,2,1,2,3,0,5,0.3333333333333333,-3.339999999999998,3.2352661969057603,187.59958306835023,1.1942721841951252,16.15483926867855,9.71354742435237,0.0,5.41499046939678
53259458,Kd,>,10.0,438.5750000000001,5.135700000000005,0,4,6,41.370000000000005,3,4,2,2,1,2,3,0,5,0.3571428571428571,-3.339999999999998,3.3775493538830803,194.17449666934212,1.2077841631770614,16.154843908508155,9.713491653514732,0.0,5.41499046939678
