CID,Activity Type,Qualifier,Value,MolWt,MolLogP,NumHDonors,NumHAcceptors,RingCount,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHeteroatoms,FractionCSP3,HallKierAlpha,Kappa3,LabuteASA,BalabanJ,BCUT2D_MWHI,BCUT2D_MWLOW,EState_VSA1,EState_VSA2
117636013,Ki,>,10.0,443.42900000000014,4.024500000000003,0,6,4,81.10000000000001,4,3,1,1,2,1,1,0,10,0.3181818181818182,-3.5599999999999983,4.5330786132812495,181.86939642558733,1.5272796899028096,19.413188888291845,9.98612078759371,17.843716396888773,23.65341339293477
86271956,Ki,>,10.0,446.4370000000002,2.8847200000000006,1,8,4,101.72,4,3,1,1,3,1,0,0,12,0.4,-3.5699999999999985,4.385339427539911,181.2463425194508,1.5372318217154972,19.413188811943296,9.962343242117838,11.73975000914047,23.939200668633923
86271956,Ki,>,10.0,446.4370000000002,2.8847200000000006,1,8,4,101.72,4,3,1,1,3,1,0,0,12,0.4,-3.5699999999999985,4.385339427539911,181.2463425194508,1.5372318217154972,19.413188811943296,9.962343242117838,11.73975000914047,23.939200668633923
117637832,Ki,>,10.0,459.40300000000025,3.773500000000003,0,6,5,81.10000000000001,4,3,2,2,2,1,1,1,11,0.3181818181818182,-3.629999999999999,4.0995501769680285,185.0291006749844,1.3696835882548486,19.41324930912478,10.02133159481073,23.79141374108613,40.69822242249015
117637832,Ki,>,10.0,459.40300000000025,3.773500000000003,0,6,5,81.10000000000001,4,3,2,2,2,1,1,1,11,0.3181818181818182,-3.629999999999999,4.0995501769680285,185.0291006749844,1.3696835882548486,19.41324930912478,10.02133159481073,23.79141374108613,40.69822242249015
117637003,Ki,>,10.0,430.3940000000002,2.1862000000000004,1,8,5,101.72,4,3,2,2,3,1,0,1,12,0.3684210526315789,-3.5699999999999985,3.574502393401738,173.87556925152495,1.345337953151725,19.41318834899219,10.044667008851174,11.73975000914047,23.939200668633923
117637003,Ki,>,10.0,430.3940000000002,2.1862000000000004,1,8,5,101.72,4,3,2,2,3,1,0,1,12,0.3684210526315789,-3.5699999999999985,3.574502393401738,173.87556925152495,1.345337953151725,19.41318834899219,10.044667008851174,11.73975000914047,23.939200668633923
118885607,Ki,>,10.0,459.4760000000002,3.514020000000002,0,7,4,80.04,4,3,1,1,3,1,0,0,11,0.4090909090909091,-3.4999999999999987,4.52577873254565,188.6016081394962,1.5799016995188204,19.413188108226468,9.948237297335895,11.73975000914047,17.990861387647428
86271583,Ki,>,10.0,407.4360000000001,4.604300000000004,1,4,3,54.46,5,2,1,1,1,1,1,0,8,0.4285714285714285,-2.7699999999999987,4.805103401954568,167.43310468908518,1.7315308525503912,19.413184741322723,9.958782554162012,11.73975000914047,17.990861387647428
86271583,Ki,>,10.0,407.4360000000001,4.604300000000004,1,4,3,54.46,5,2,1,1,1,1,1,0,8,0.4285714285714285,-2.7699999999999987,4.805103401954568,167.43310468908518,1.7315308525503912,19.413184741322723,9.958782554162012,11.73975000914047,17.990861387647428
86271585,Ki,>,10.0,441.33300000000014,3.530000000000002,1,6,4,75.94,4,3,1,1,2,1,1,0,8,0.3,-2.7399999999999984,3.7743160964867295,171.44810372562716,1.5554485798613165,79.91873125006668,9.95804171862674,0.0,17.990861387647428
86271585,Ki,>,10.0,441.33300000000014,3.530000000000002,1,6,4,75.94,4,3,1,1,2,1,1,0,8,0.3,-2.7399999999999984,3.7743160964867295,171.44810372562716,1.5554485798613165,79.91873125006668,9.95804171862674,0.0,17.990861387647428
86271868,Ki,>,10.0,446.4370000000002,2.8847200000000006,1,8,4,101.72,4,3,1,1,3,1,0,0,12,0.4,-3.5699999999999985,4.385339427539911,181.2463425194508,1.5372318217154977,19.41318879998269,9.96569923697313,11.73975000914047,29.633128663482385
86271868,Ki,>,10.0,446.4370000000002,2.8847200000000006,1,8,4,101.72,4,3,1,1,3,1,0,0,12,0.4,-3.5699999999999985,4.385339427539911,181.2463425194508,1.5372318217154977,19.41318879998269,9.96569923697313,11.73975000914047,29.633128663482385
90405814,Ki,>,10.0,447.4210000000002,2.8516200000000005,0,8,4,98.92,4,3,1,1,3,1,0,0,12,0.4,-3.5699999999999985,4.385339427539911,180.81002556534963,1.5372318217154974,19.41323061522372,9.98991196670436,17.974192900040237,23.5229368897833
86271788,Ki,>,10.0,470.4510000000002,4.248000000000004,0,6,5,77.44000000000001,5,3,2,2,2,1,1,1,10,0.3333333333333333,-3.689999999999998,4.1522395115029935,193.1224046350152,1.3780097360278445,19.41319020151437,10.01891330843165,11.73975000914047,29.850881328844533
86271788,Ki,>,10.0,470.4510000000002,4.248000000000004,0,6,5,77.44000000000001,5,3,2,2,2,1,1,1,10,0.3333333333333333,-3.689999999999998,4.1522395115029935,193.1224046350152,1.3780097360278445,19.41319020151437,10.01891330843165,11.73975000914047,29.850881328844533
86271788,Ki,>,10.0,470.4510000000002,4.248000000000004,0,6,5,77.44000000000001,5,3,2,2,2,1,1,1,10,0.3333333333333333,-3.689999999999998,4.1522395115029935,193.1224046350152,1.3780097360278445,19.41319020151437,10.01891330843165,11.73975000914047,29.850881328844533
86271788,Ki,>,10.0,470.4510000000002,4.248000000000004,0,6,5,77.44000000000001,5,3,2,2,2,1,1,1,10,0.3333333333333333,-3.689999999999998,4.1522395115029935,193.1224046350152,1.3780097360278445,19.41319020151437,10.01891330843165,11.73975000914047,29.850881328844533
86271788,Ki,>,10.0,470.4510000000002,4.248000000000004,0,6,5,77.44000000000001,5,3,2,2,2,1,1,1,10,0.3333333333333333,-3.689999999999998,4.1522395115029935,193.1224046350152,1.3780097360278445,19.41319020151437,10.01891330843165,11.73975000914047,29.850881328844533
117631108,Ki,>,10.0,413.8690000000002,2.4862199999999994,0,8,4,98.92,4,3,1,1,3,1,0,0,10,0.3684210526315789,-3.0699999999999985,4.044343367124394,172.251743469056,1.5848143704928996,35.49569187141538,9.984791212084088,0.0,24.0634517858346
117631062,Ki,>,10.0,447.4210000000002,2.8516200000000005,0,8,4,98.92,4,3,1,1,3,1,0,0,12,0.4,-3.5699999999999985,4.385339427539911,180.81002556534963,1.5429318891775914,19.41318980035648,9.984757494693598,17.843716396888773,17.9594853980863
